[2020-03-08 00:23:58:316] [aop.AnnotationCommenAop.<init>] [INFO] 注解式切面已初始化...
[2020-03-08 00:23:59:605] [vo.logVo.LogVo.<init>] [INFO] 日志实例已初始化...
[2020-03-08 00:23:59:641] [util.CommenClass.<init>] [INFO] 通用类初始化完成...
[2020-03-08 00:23:59:672] [util.MyApplicationContextAnnotion.<init>] [INFO] 获取上下文工具类初始化成功!
[2020-03-08 00:25:34:056] [aop.AnnotationCommenAop.writeLog] [INFO] 开始保存操作日志...
[2020-03-08 00:25:34:194] [vo.logVo.LogVo.<init>] [INFO] 日志实例已初始化...
[2020-03-08 00:25:34:197] [controller.user.UserController.login] [INFO] 登录成功!
[2020-03-08 00:25:34:350] [aop.AnnotationCommenAop.writeLog] [INFO] 保存操作日志成功.
[2020-03-08 00:25:39:149] [aop.AnnotationCommenAop.writeLog] [INFO] 开始保存操作日志...
[2020-03-08 00:25:39:193] [aop.AnnotationCommenAop.writeLog] [INFO] 保存操作日志成功.
[2020-03-08 00:25:40:483] [aop.AnnotationCommenAop.writeLog] [INFO] 开始保存操作日志...
[2020-03-08 00:25:40:525] [aop.AnnotationCommenAop.writeLog] [INFO] 保存操作日志成功.
[2020-03-08 00:25:42:033] [aop.AnnotationCommenAop.writeLog] [INFO] 开始保存操作日志...
[2020-03-08 00:25:42:066] [aop.AnnotationCommenAop.writeLog] [INFO] 保存操作日志成功.
[2020-03-08 00:25:43:780] [aop.AnnotationCommenAop.writeLog] [INFO] 开始保存操作日志...
[2020-03-08 00:25:43:800] [aop.AnnotationCommenAop.writeLog] [INFO] 保存操作日志成功.
